* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -37,1 dBFS, measurement signal peak level -9,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:40:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; MLP - Sub 1.5 Delay -1,0009 ms (-343 mm, -(1 ft 1,52 in)) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,4 ppm
* Measurement: MLP - Sub1.5
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
236.938477 47.488 84.0909
237.304688 48.679 66.9401
237.670898 50.021 53.0981
238.037109 51.376 41.8558
238.403320 52.678 32.3896
238.769531 53.900 24.0339
239.135742 55.025 16.3285
239.501953 56.039 8.9967
239.868164 56.933 1.9175
240.234375 57.702 -4.9147
240.600586 58.354 -11.4491
240.966797 58.908 -17.6422
241.333008 59.384 -23.5070
241.699219 59.800 -29.1219
242.065430 60.157 -34.5840
242.431641 60.448 -39.9333
242.797852 60.660 -45.1008
243.164062 60.793 -49.9175
243.530273 60.867 -54.1919
243.896484 60.926 -57.8306
244.262695 61.018 -60.9393
244.628906 61.176 -63.8186
244.995117 61.394 -66.8195
245.361328 61.638 -70.1666
245.727539 61.867 -73.8849
246.093750 62.056 -77.8606
246.459961 62.196 -81.9501
246.826172 62.290 -86.0504
247.192383 62.341 -90.1033
247.558594 62.351 -94.0508
247.924805 62.325 -97.8022
248.291016 62.279 -101.2573
248.657227 62.242 -104.3871
249.023438 62.247 -107.3138
249.389648 62.309 -110.3029
249.755859 62.410 -113.6315
250.122070 62.512 -117.4341
250.488281 62.576 -121.6478
250.854492 62.583 -126.0891
251.220703 62.539 -130.5917
251.586914 62.465 -135.1222
251.953125 62.373 -139.8027
252.319336 62.250 -144.8171
252.685547 62.059 -150.2660
253.051758 61.755 -156.0718
253.417969 61.304 -161.9897
253.784180 60.696 -167.6970
254.150391 59.948 -172.9183
254.516602 59.088 -177.5405
254.882812 58.134 178.3530
255.249023 57.061 174.6084
255.615234 55.796 171.2719
255.981445 54.239 168.8853
256.347656 52.312 168.7472
256.713867 50.073 173.0913
257.080078 47.937 -175.5836
257.446289 46.727 -158.0792
257.812500 46.760 -140.1954
258.178711 47.552 -125.1185
258.544922 48.857 -112.5341
258.911133 50.645 -103.2639
