* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -38,0 dBFS, measurement signal peak level -9,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:43:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; RLP - Sub 1.5 Delay 0,6618 ms (227 mm, 8,94 in) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,3 ppm
* Measurement: RLP - Sub1.5
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
180.908203 75.960 50.4122
181.274414 76.184 50.8745
181.640625 76.428 51.1351
182.006836 76.687 51.2019
182.373047 76.958 51.0834
182.739258 77.239 50.7864
183.105469 77.530 50.3138
183.471680 77.828 49.6641
183.837891 78.133 48.8315
184.204102 78.443 47.8076
184.570312 78.757 46.5834
184.936523 79.073 45.1476
185.302734 79.388 43.4852
185.668945 79.699 41.5781
186.035156 79.999 39.4122
186.401367 80.281 36.9880
186.767578 80.538 34.3263
187.133789 80.764 31.4657
187.500000 80.956 28.4501
187.866211 81.115 25.3158
188.232422 81.240 22.0859
188.598633 81.333 18.7764
188.964844 81.390 15.4060
189.331055 81.411 12.0054
189.697266 81.396 8.6127
190.063477 81.349 5.2611
190.429688 81.274 1.9651
190.795898 81.176 -1.2852
191.162109 81.053 -4.5101
191.528320 80.903 -7.7219
191.894531 80.719 -10.9030
192.260742 80.494 -14.0029
192.626953 80.227 -16.9476
192.993164 79.922 -19.6598
193.359375 79.587 -22.0748
193.725586 79.230 -24.1471
194.091797 78.862 -25.8456
194.458008 78.494 -27.1465
194.824219 78.140 -28.0359
195.190430 77.818 -28.5258
195.556641 77.544 -28.6770
195.922852 77.335 -28.6074
196.289062 77.194 -28.4707
196.655273 77.118 -28.4142
197.021484 77.091 -28.5397
197.387695 77.101 -28.8944
197.753906 77.135 -29.4879
198.120117 77.185 -30.3173
198.486328 77.245 -31.3829
198.852539 77.308 -32.6885
199.218750 77.368 -34.2316
199.584961 77.417 -35.9966
199.951172 77.449 -37.9524
200.317383 77.459 -40.0583
200.683594 77.445 -42.2695
201.049805 77.408 -44.5424
201.416016 77.350 -46.8409
201.782227 77.276 -49.1432
202.148438 77.190 -51.4474
202.514648 77.098 -53.7744
202.880859 76.997 -56.1604
203.247070 76.885 -58.6400
203.613281 76.754 -61.2273
203.979492 76.592 -63.9031
204.345703 76.392 -66.6141
204.711914 76.149 -69.2863
205.078125 75.865 -71.8386
205.444336 75.542 -74.1989
205.810547 75.188 -76.3075
206.176758 74.812 -78.1184
206.542969 74.422 -79.5950
206.909180 74.030 -80.7139
207.275391 73.652 -81.4756
207.641602 73.301 -81.9163
208.007812 72.989 -82.1125
208.374023 72.723 -82.1681
208.740234 72.500 -82.1875
209.106445 72.314 -82.2501
209.472656 72.155 -82.4001
209.838867 72.014 -82.6509
210.205078 71.882 -82.9967
210.571289 71.755 -83.4213
210.937500 71.627 -83.8966
211.303711 71.494 -84.3796
211.669922 71.358 -84.8113
212.036133 71.224 -85.1296
212.402344 71.106 -85.2952
212.768555 71.022 -85.3271
213.134766 70.988 -85.3284
213.500977 71.011 -85.4753
213.867188 71.080 -85.9581
214.233398 71.165 -86.8977
214.599609 71.232 -88.2910
214.965820 71.254 -90.0111
215.332031 71.217 -91.8610
215.698242 71.126 -93.6464
216.064453 70.998 -95.2424
216.430664 70.853 -96.6189
216.796875 70.701 -97.8083
217.163086 70.545 -98.8324
217.529297 70.381 -99.6461
217.895508 70.220 -100.1489
218.261719 70.084 -100.2705
218.627930 70.009 -100.0721
218.994141 70.020 -99.7731
219.360352 70.114 -99.6560
219.726562 70.264 -99.9186
220.092773 70.437 -100.6021
220.458984 70.610 -101.6339
220.825195 70.777 -102.9230
221.191406 70.935 -104.4202
221.557617 71.083 -106.1147
221.923828 71.214 -107.9926
222.290039 71.324 -110.0026
222.656250 71.409 -112.0679
223.022461 71.478 -114.1265
223.388672 71.541 -116.1665
223.754883 71.603 -118.2213
224.121094 71.663 -120.3298
224.487305 71.715 -122.4940
224.853516 71.758 -124.6726
225.219727 71.794 -126.8151
225.585938 71.832 -128.9036
225.952148 71.883 -130.9697
226.318359 71.948 -133.0687
226.684570 72.025 -135.2385
227.050781 72.110 -137.4818
227.416992 72.205 -139.7870
227.783203 72.315 -142.1692
228.149414 72.445 -144.6914
228.515625 72.592 -147.4445
228.881836 72.743 -150.4998
229.248047 72.881 -153.8715
229.614258 72.990 -157.5131
229.980469 73.062 -161.3439
230.346680 73.093 -165.2806
230.712891 73.086 -169.2572
231.079102 73.045 -173.2255
231.445312 72.973 -177.1481
231.811523 72.875 179.0043
232.177734 72.757 175.2471
232.543945 72.626 171.5748
232.910156 72.483 167.9657
233.276367 72.327 164.4010
233.642578 72.153 160.8920
234.008789 71.959 157.4880
234.375000 71.749 154.2584
234.741211 71.536 151.2489
235.107422 71.334 148.4449
235.473633 71.154 145.7701
235.839844 70.994 143.1313
236.206055 70.846 140.4839
236.572266 70.700 137.8621
236.938477 70.555 135.3506
237.304688 70.427 133.0083
237.670898 70.337 130.7997
238.037109 70.297 128.5856
238.403320 70.303 126.1936
238.769531 70.336 123.5171
239.135742 70.373 120.5634
239.501953 70.401 117.4214
239.868164 70.423 114.1814
240.234375 70.450 110.8667
240.600586 70.489 107.4183
240.966797 70.539 103.7424
241.333008 70.586 99.7783
241.699219 70.613 95.5365
242.065430 70.610 91.0859
242.431641 70.573 86.5074
242.797852 70.507 81.8528
243.164062 70.417 77.1320
243.530273 70.302 72.3334
243.896484 70.159 67.4546
244.262695 69.983 62.5203
244.628906 69.772 57.5750
244.995117 69.526 52.6614
245.361328 69.248 47.8073
245.727539 68.940 43.0278
246.093750 68.599 38.3462
246.459961 68.227 33.8075
246.826172 67.824 29.4727
247.192383 67.400 25.3928
247.558594 66.965 21.5862
247.924805 66.527 18.0397
248.291016 66.091 14.7413
248.657227 65.660 11.7100
249.023438 65.246 8.9829
249.389648 64.871 6.5505
249.755859 64.561 4.2802
250.122070 64.326 1.9133
250.488281 64.148 -0.8313
250.854492 63.987 -4.1144
251.220703 63.799 -7.9106
