* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -41,0 dBFS, measurement signal peak level -9,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:37:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LLP - Sub 1S Delay 5,3349 ms (1,830 m, 6 ft) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,9 ppm
* Measurement: LLP - Sub1S
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
168.090820 93.532 -146.1560
168.457031 93.490 -148.4634
168.823242 93.449 -150.8027
169.189453 93.408 -153.1743
169.555664 93.365 -155.5715
169.921875 93.320 -157.9829
170.288086 93.273 -160.3975
170.654297 93.228 -162.8149
171.020508 93.189 -165.2490
171.386719 93.157 -167.7307
171.752930 93.134 -170.3047
172.119141 93.116 -173.0237
172.485352 93.097 -175.9458
172.851562 93.066 -179.1221
173.217773 93.006 177.4189
173.583984 92.895 173.6997
173.950195 92.708 169.8137
174.316406 92.427 165.9380
174.682617 92.045 162.3232
175.048828 91.570 159.2617
175.415039 91.035 157.0264
175.781250 90.496 155.7803
176.147461 90.016 155.4849
176.513672 89.650 155.8716
176.879883 89.421 156.5356
177.246094 89.317 157.1064
177.612305 89.307 157.3623
177.978516 89.359 157.2246
178.344727 89.451 156.6841
178.710938 89.567 155.7454
179.077148 89.694 154.4163
179.443359 89.816 152.7190
179.809570 89.922 150.6982
180.175781 90.003 148.4136
180.541992 90.054 145.9238
180.908203 90.073 143.2778
181.274414 90.056 140.5198
181.640625 90.001 137.6980
182.006836 89.905 134.8745
182.373047 89.769 132.1223
182.739258 89.598 129.5120
183.105469 89.401 127.0977
183.471680 89.188 124.9077
183.837891 88.968 122.9478
184.204102 88.750 121.2114
184.570312 88.541 119.6885
184.936523 88.348 118.3643
185.302734 88.179 117.2080
185.668945 88.041 116.1699
186.035156 87.936 115.1870
186.401367 87.863 114.2029
186.767578 87.819 113.1809
